Symbol,Name,Exchange,Latest,Sector,Industry,"9M %Chg"
MAR,"Marriot Int Cl A",NASDAQ,369.64,"Consumer Discretionary","Hotels & Motels",+38.73%
MAS,"Masco Corp",NYSE,78.19,Construction,"Building & Construction - Misc",+15.50%
MCD,"McDonald's Corp",NYSE,267.08,Retail-Wholesale,"Retail - Restaurants",-12.47%
MCHP,"Microchip Technology",NASDAQ,85.43,"Computers and Technology","Semi Analog & Mixed",+29.61%
MCK,"Mckesson Corp",NYSE,807.61,Medical,"Medical - Dental Suppliers",+2.30%
MCO,"Moody's Corp",NYSE,506.61,Finance,"Finance - Misc Services",+6.20%
MDLZ,"Mondelez Intl Inc",NASDAQ,58.65,"Consumer Staples","Food - Misc & Diversified",-4.87%
MDT,"Medtronic Inc",NYSE,81.15,Medical,"Medical Products",-14.86%
MET,"Metlife Inc",NYSE,92.41,Finance,"Insurance - Multi Line",+13.27%
META,"META Platforms Inc",NASDAQ,674.77,"Computers and Technology","Internet - Software",-5.81%
MGM,"MGM Resorts International",NYSE,46.65,"Consumer Discretionary",Gaming,+45.41%
MKC,"Mccormick & Company",NYSE,51.49,"Consumer Staples","Food - Misc & Diversified",-21.13%
MLM,"Martin Marietta Materials",NYSE,573.99,Construction,"Building - CMT & CNT & AG",-10.94%
MMM,"3M Company",NYSE,160.28,Conglomerates,"Conglomerates - Div Operations",+3.69%
MNST,"Monster Beverage Corp",NASDAQ,98.45,"Consumer Staples","Beverages - Soft",+43.61%
MO,"Altria Group",NYSE,71.08,"Consumer Staples",Tobacco,+9.76%
MOS,"Mosaic Company",NYSE,22.74,"Basic Materials",Fertilizers,-24.25%
MPC,"Marathon Petroleum Corp",NYSE,296.02,Oils-Energy,"Oil - Refining and Marketing",+61.60%
MPWR,"Monolithic Power Sys",NASDAQ,1340.99,"Computers and Technology","Semi Analog & Mixed",+31.41%
MRK,"Merck & Company",NYSE,123.43,Medical,"Large Cap Pharma",+47.25%
MRNA,"Moderna Inc",NASDAQ,67.18,Medical,"Medical - Biomedical",+141.16%
MRSH,"Marsh & Mclennan Companies",NYSE,176.71,"Business Services","Business Services",-13.00%
